,FIPS,hh_income,house_value,State,County,Tract_ID
2151,36081126500,123906.0,706000.0,NEW YORK,Queens County,126500
2152,36081126700,78750.0,756600.0,NEW YORK,Queens County,126700
2153,36081127700,127730.0,978700.0,NEW YORK,Queens County,127700
2155,36081129102,122123.0,922500.0,NEW YORK,Queens County,129102
2156,36081129103,69964.0,252500.0,NEW YORK,Queens County,129103
2157,36081129104,96711.0,320900.0,NEW YORK,Queens County,129104
2158,36081130100,87083.0,317200.0,NEW YORK,Queens County,130100
2159,36081133300,118562.0,912000.0,NEW YORK,Queens County,133300
2160,36081133900,125063.0,851800.0,NEW YORK,Queens County,133900
2161,36081134100,80964.0,919100.0,NEW YORK,Queens County,134100
2162,36081134701,74518.0,759977.6464903357,NEW YORK,Queens County,134701
2163,36081134702,78618.0,607800.0,NEW YORK,Queens County,134702
2164,36081136700,86470.0,358800.0,NEW YORK,Queens County,136700
2165,36081137700,90238.0,766500.0,NEW YORK,Queens County,137700
2166,36081138501,92654.0,966600.0,NEW YORK,Queens County,138501
2168,36081139900,127431.0,886000.0,NEW YORK,Queens County,139900
2169,36081140300,69531.0,801900.0,NEW YORK,Queens County,140300
2170,36081140901,103500.0,877700.0,NEW YORK,Queens County,140901
2171,36081140902,83081.0,903500.0,NEW YORK,Queens County,140902
2172,36081141700,67298.0,836400.0,NEW YORK,Queens County,141700
2173,36081142900,72979.0,874100.0,NEW YORK,Queens County,142900
2174,36081143500,109732.0,892400.0,NEW YORK,Queens County,143500
2175,36081144100,105456.0,790800.0,NEW YORK,Queens County,144100
2176,36081144700,80469.0,861000.0,NEW YORK,Queens County,144700
2177,36081145101,72045.0,942200.0,NEW YORK,Queens County,145101
2178,36081145102,70582.0,810800.0,NEW YORK,Queens County,145102
2179,36081145900,92167.0,845600.0,NEW YORK,Queens County,145900
2180,36081146300,74370.0,482600.0,NEW YORK,Queens County,146300
2181,36081146700,104167.0,888500.0,NEW YORK,Queens County,146700
2182,36081147100,91094.0,392000.0,NEW YORK,Queens County,147100
2183,36081147900,78958.0,610800.0,NEW YORK,Queens County,147900
2184,36081148300,118345.0,1067400.0,NEW YORK,Queens County,148300
2185,36081150701,150284.0,983000.0,NEW YORK,Queens County,150701
2186,36081150702,96336.0,878500.0,NEW YORK,Queens County,150702
2187,36081152901,72967.0,620500.0,NEW YORK,Queens County,152901
2188,36081152902,105207.0,310700.0,NEW YORK,Queens County,152902
2189,36081155101,60800.0,654400.0,NEW YORK,Queens County,155101
2190,36081155103,96375.0,268800.0,NEW YORK,Queens County,155103
2191,36081155104,129167.0,381500.0,NEW YORK,Queens County,155104
2192,36081156700,61406.0,615000.0,NEW YORK,Queens County,156700
2193,36081157101,102525.0,593100.0,NEW YORK,Queens County,157101
2194,36081157102,111250.0,682100.0,NEW YORK,Queens County,157102
2195,36081157901,111391.0,634700.0,NEW YORK,Queens County,157901
2196,36081157902,88355.0,643000.0,NEW YORK,Queens County,157902
2197,36081157903,108387.0,648400.0,NEW YORK,Queens County,157903
2198,36081161700,123728.0,617100.0,NEW YORK,Queens County,161700
2199,36081162100,88086.0,602600.0,NEW YORK,Queens County,162100
2201,36085000300,66938.0,538800.0,NEW YORK,Staten Island,000300
2202,36085000600,78730.62887067396,557400.0,NEW YORK,Staten Island,000600
2203,36085000700,53615.0,442100.0,NEW YORK,Staten Island,000700
2204,36085000800,83697.0,493100.0,NEW YORK,Staten Island,000800
2205,36085000900,63542.0,605200.0,NEW YORK,Staten Island,000900
2206,36085001100,49539.0,403300.0,NEW YORK,Staten Island,001100
